City,Temp,Max_temp,Cloudiness,Humidity,Wind Speed,Lat,Long
Tuatapere,39.0,39.0,43,83,3.0,-46.13,167.68
Cabañas,77.0,77.0,90,100,3.36,22.98,-82.92
Mataura,39.0,39.0,55,83,3.0,-46.19,168.86
Rurrenabaque,65.55,65.55,87,75,1.59,-14.44,-67.53
Atuona,80.33,80.33,14,77,20.2,-9.8,-139.03
Morgan City,88.84,91.0,1,66,10.29,29.7,-91.21
Jamestown,77.02,78.01,20,57,9.17,42.1,-79.24
Byron Bay,59.76,63.0,92,93,1.12,-28.65,153.62
Ostrovnoy,56.95,56.95,6,76,20.8,68.05,39.51
Naze,79.75,80.6,75,88,6.93,28.37,129.48
Gjøvik,46.51,48.99,100,97,9.31,60.79,10.69
Jalu,77.09,77.09,0,50,15.05,29.03,21.55
Tasiilaq,39.2,39.2,100,93,2.24,65.61,-37.64
East London,64.58,64.58,0,36,5.82,-33.02,27.91
Beringovskiy,42.96,42.96,100,97,14.63,63.05,179.32
Hong Kong,83.62,86.0,89,88,8.99,22.29,114.16
Hambantota,80.17,80.17,96,84,14.12,6.12,81.12
Zhigansk,73.36,73.36,30,38,19.98,66.77,123.37
Asău,64.99,64.99,5,86,3.49,46.43,26.4
Flin Flon,62.6,62.6,90,93,8.05,54.77,-101.86
Olinda,78.8,78.8,40,74,6.93,-8.01,-34.86
Biak,77.77,77.77,92,81,7.27,-0.91,122.88
Yellowknife,64.47,66.2,90,63,20.8,62.46,-114.35
Dingle,82.65,82.65,70,75,3.22,11.0,122.67
Lüderitz,64.4,64.4,0,41,4.7,-26.65,15.16
Hilo,79.95,84.2,1,58,10.29,19.73,-155.09
Albany,71.91,73.0,52,82,4.36,42.6,-73.97
Rikitea,69.26,69.26,28,69,23.06,-23.12,-134.97
Khatanga,53.13,53.13,68,74,18.92,71.97,102.5
Wilmington,79.12,80.6,40,74,9.17,34.23,-77.94
Saskylakh,66.43,66.43,99,59,17.45,71.92,114.08
Puerto Ayora,69.01,69.01,99,93,4.0,-0.74,-90.35
Tuktoyaktuk,41.0,41.0,90,86,11.41,69.45,-133.04
Ushuaia,28.4,28.4,20,86,4.7,-54.8,-68.3
Wyndham,74.82,80.01,40,88,4.7,37.7,-77.61
Dzhebariki-Khaya,60.06,60.06,100,69,8.3,62.22,135.8
Salalah,82.4,82.4,90,94,3.36,17.02,54.09
Sumbe,69.67,69.67,3,87,10.07,-11.21,13.84
Beloha,58.17,58.17,3,88,8.43,-25.17,45.05
Port Hedland,66.2,66.2,43,42,6.93,-20.32,118.57
Inuvik,50.0,50.0,90,71,8.05,68.35,-133.72
Hobyo,79.21,79.21,68,67,21.09,5.35,48.53
Barrow,42.8,42.8,90,81,8.05,71.29,-156.79
Port Elizabeth,50.0,50.0,19,71,4.7,-33.92,25.57
Cherskiy,52.86,52.86,92,48,10.25,68.75,161.3
Sitka,62.6,62.6,20,67,17.22,57.05,-135.33
Caravelas,74.05,74.05,16,86,7.96,-17.71,-39.25
Constitución,51.46,51.46,36,85,1.77,-35.33,-72.42
Saint-Philippe,61.23,68.0,90,88,6.93,-21.36,55.77
Mossamedes,66.45,66.45,15,81,4.72,-15.2,12.15
Saldanha,51.8,51.8,0,87,3.36,-33.01,17.94
Thompson,59.0,59.0,90,100,11.41,55.74,-97.86
Bull Savanna,78.58,78.58,85,81,8.63,17.89,-77.59
Bredasdorp,46.4,46.4,0,93,4.7,-34.53,20.04
Andenes,44.6,44.6,100,93,9.17,69.31,16.12
Cape Town,48.11,48.2,20,93,1.12,-33.93,18.42
Wajir,74.07,74.07,86,69,16.24,1.75,40.06
Busselton,42.17,44.01,64,98,3.29,-33.65,115.33
Saint Paul Harbor,59.0,59.0,1,67,6.93,57.79,-152.41
Dikson,39.4,39.4,96,99,18.01,73.51,80.55
Arraial do Cabo,73.4,73.4,75,73,14.99,-22.97,-42.03
Aksha,64.17,64.17,77,80,0.92,50.28,113.29
Severo-Kuril'sk,47.14,47.14,100,90,5.53,50.68,156.12
Dhidhdhoo,82.74,82.74,100,79,9.08,6.88,73.1
Rehburg-Loccum,58.68,60.8,74,93,6.93,52.47,9.2
Carnarvon,57.2,57.2,0,76,13.87,-24.87,113.63
Lompoc,63.73,64.99,34,72,13.87,34.64,-120.46
Shache,67.77,67.77,5,28,4.76,38.42,77.24
Slave Lake,62.6,62.6,90,88,8.05,55.28,-114.77
Airai,62.71,62.71,3,54,4.0,-8.93,125.41
Bambous Virieux,69.42,71.6,75,78,12.75,-20.34,57.76
Nouadhibou,69.8,69.8,40,88,17.22,20.93,-17.03
Shetpe,63.57,63.57,6,45,8.32,44.17,52.12
Belmopan,86.0,86.0,3,68,7.0,17.25,-88.77
Gravdal,48.06,48.06,99,89,7.7,68.12,13.5
Grand Gaube,66.99,66.99,3,81,1.01,-20.01,57.66
Ahipara,56.57,56.57,16,58,13.35,-35.17,173.17
Ribeira Grande,64.4,64.4,40,82,5.82,38.52,-28.7
Faanui,79.56,79.56,78,80,23.73,-16.48,-151.75
Avera,80.74,84.2,90,79,5.82,33.19,-82.53
Punta Arenas,33.39,33.8,75,92,10.29,-53.15,-70.92
Butaritari,81.18,81.18,83,78,8.37,3.07,172.79
Rio Grande,48.99,48.99,60,91,7.0,-32.03,-52.1
Houston,91.06,91.99,20,59,9.17,29.76,-95.36
Chui,44.94,44.94,56,83,11.25,-33.7,-53.46
Merauke,80.82,80.82,99,75,12.35,-8.47,140.33
Oława,70.25,71.6,22,73,5.82,50.95,17.29
Kohlu,83.89,83.89,0,33,8.97,29.9,69.25
Julfa,68.0,68.0,40,42,9.17,38.96,45.63
New Norfolk,46.02,48.0,100,91,5.59,-42.78,147.06
Peace River,59.0,59.0,90,93,14.99,56.25,-117.29
Namatanai,84.42,84.42,56,63,4.79,-3.67,152.43
Shrewsbury,54.54,55.4,49,87,5.82,52.71,-2.75
Geraldton,48.2,48.2,0,93,5.82,-28.77,114.6
Roald,42.19,46.0,91,86,3.36,62.58,6.13
Matagami,87.8,87.8,75,33,6.93,49.75,-77.63
Manjacaze,56.48,56.48,0,87,2.86,-24.71,33.88
Örnsköldsvik,44.6,44.6,0,60,8.05,63.29,18.72
Canutama,75.52,75.52,100,92,2.39,-6.53,-64.38
Hermanus,54.0,54.0,0,93,4.7,-34.42,19.23
Talara,64.65,64.65,2,83,19.01,-4.58,-81.27
Maţāy,76.55,76.55,0,53,12.1,28.42,30.78
Vīrarājendrapet,67.05,67.05,100,100,2.86,12.2,75.8
Hearst,89.35,89.35,31,37,3.02,49.68,-83.67
